Employee,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
E1,M_A,M_A,M_A,T_A,T_A,F,T_A,0,M_A,T_A,F,T_A,T_A,0,T_A,T_A,T_A,0,M_A,T_A,T_A,F,M_A,F,T_A,0,T_A,T_A,T_A,0
E2,0,0,T_A,0,F,0,T_A,0,M_A,M_A,M_A,T_A,0,T_A,F,M_A,M_A,M_A,T_A,T_A,T_A,T_A,0,0,M_A,0,F,T_A,F,0
E3,M_A,0,M_A,M_A,T_A,0,0,M_A,T_A,0,0,F,M_A,M_A,0,M_A,0,0,T_A,T_A,F,M_A,0,F,0,0,T_A,T_A,T_A,F
E4,0,0,T_A,0,T_A,T_A,T_A,0,T_A,T_A,0,T_A,0,0,0,F,T_A,F,T_A,T_A,F,F,T_A,0,M_A,T_A,0,T_A,T_A,0
E5,T_B,0,M_A,M_A,M_A,T_B,T_B,T_B,F,T_A,0,M_A,T_A,F,F,0,F,T_A,T_B,T_B,T_B,T_A,0,T_B,T_B,T_A,T_B,T_B,T_A,T_A
E6,M_B,T_B,0,M_A,M_A,M_A,F,T_B,0,T_B,0,F,T_A,F,T_A,0,0,T_B,T_B,T_A,T_B,F,T_B,0,T_A,0,M_A,M_A,M_A,T_A
E7,M_A,0,M_A,T_A,T_A,0,T_A,0,T_A,0,M_A,T_A,T_A,0,F,T_A,0,F,F,M_A,0,T_A,T_A,F,T_A,T_A,0,T_A,T_A,0
E8,T_A,T_A,F,T_A,0,M_A,0,0,M_A,F,T_A,0,0,F,M_A,0,M_A,T_A,T_A,T_A,0,0,M_A,0,T_A,0,0,0,M_A,F
E9,0,M_A,M_A,M_A,F,0,0,T_A,0,M_A,T_A,T_A,F,M_A,M_A,T_A,T_A,0,F,M_A,F,0,M_A,T_A,0,M_A,T_A,0,0,0
E10,M_B,T_B,0,M_B,F,0,T_B,T_B,0,T_B,T_B,0,T_B,0,0,0,T_B,0,T_B,F,F,T_B,0,0,M_B,M_B,0,F,M_B,T_B
E11,T_B,0,T_B,T_B,T_B,0,0,0,M_A,F,M_A,T_B,0,M_B,0,F,T_B,T_B,0,M_B,0,0,T_B,T_A,0,M_B,T_A,F,T_A,F
E12,T_B,T_B,0,0,M_B,0,M_B,T_B,T_B,F,M_B,T_B,T_B,0,0,M_B,0,T_B,F,T_B,F,0,0,M_B,T_B,F,0,0,M_B,T_B
