,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed
Employee_1,0,T,0,0,0,0,M,0,0,F,0,0,0,0,0,T,T,0,T,M,M,F,T,T,0,0,0,0,M,T,F,0,0,0,T,0,0,T,0,0,0,0,0,0,0,F,0,T,0,F,F,0,0,0,T,0,0,0,M,T,0,0,0,0,0,T,0,0,0,0,0,0,0,F,0,0,0,T,0,M,0,F,0,0,M,F,0,0,0,0,M,0,0,0,F,0,M,0,M,0,M,0,0,T,0,0,F,0,M,0,0,0,0,0,0,M,0,0,T,0,0,T,T,0,F,0,0,0,0,0,F,0,0,0,T,T,0,0,T,M,0,0,0,M,0,0,F,0,0,F,0,0,T,0,0,0,0,0,0,F,F,F,F,0,0,0,0,0,0,F,0,0,F,T,0,0,0,0,0,M,0,M,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,M,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,M,0,0,0,0,0,0,T,F,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,M,0,M,0,0,0,M,F,0,0,0,T,0,0,0,0,0,0,0,0,0,0,T,0,T,0,0,0,0,0,0,M,0,0,0,0,0,0,M,F,0,0,0,0,0,0,F,0,0,0,F,F,0,T,0,0,0,0,0,0,0,0,T,0,0,0,0,0,F,0,T,0,F,0,0,0,0,0,T,0,0,0
Employee_2,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,T,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,M,0,0,T,0,0,0,F,M,0,0,0,0,0,0,0,0,0,M,0,0,0,0,F,0,M,0,0,0,0,0,0,0,0,0,T,0,M,T,0,0,0,0,T,0,0,0,0,0,T,0,F,0,T,0,T,0,0,F,0,F,0,0,T,0,0,0,M,0,F,T,0,0,0,0,0,0,M,0,T,0,0,0,0,0,0,T,F,0,T,0,0,0,F,0,F,0,M,0,T,0,M,0,0,0,F,0,T,F,0,0,0,0,0,0,0,0,M,0,0,0,M,0,0,0,0,0,F,0,F,0,M,0,0,0,F,0,0,M,0,0,0,0,0,0,T,0,0,0,0,M,0,F,0,0,0,0,0,0,0,F,0,0,0,T,0,0,0,M,F,0,0,0,0,0,T,0,0,0,M,F,T,0,0,0,0,T,0,0,0,0,F,T,0,T,0,0,0,0,0,T,0,0,0,0,0,0,0,M,0,0,M,0,0,0,0,0,F,0,0,M,M,0,0,M,0,0,0,0,0,0,0,M,0,0,0,0,0,0,T,0,0,0,0,0,0,F,M,T,0,M,0,M,0,0,0,0,0,0,F,0,F,F,M,M,M,M,0,M,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,F,0,M,0,0,F,0,0,0,F
Employee_3,0,0,F,F,0,0,T,0,0,0,0,M,0,0,0,0,0,M,M,0,0,0,0,0,T,0,T,T,0,0,0,M,M,0,0,0,M,0,0,0,M,0,0,0,0,0,0,M,0,M,0,0,0,0,0,0,M,0,0,0,0,0,T,0,T,0,M,0,0,0,0,0,F,0,0,0,0,0,T,0,0,0,0,0,0,M,0,F,0,M,0,0,0,0,0,0,0,0,0,M,M,0,0,F,0,0,0,F,0,0,0,0,0,0,F,F,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,F,0,0,T,0,T,0,T,0,M,0,0,M,0,0,0,M,M,0,M,0,M,0,0,0,F,0,0,0,F,0,0,0,0,0,0,F,M,0,0,0,F,0,0,0,0,0,T,0,0,M,0,0,0,0,0,0,T,T,T,0,0,0,0,0,0,0,0,0,0,M,0,0,F,M,F,M,0,0,0,F,M,0,0,0,0,T,F,0,0,M,0,0,M,0,T,M,0,T,M,F,0,0,0,0,0,F,0,0,0,0,T,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,M,F,0,0,0,0,F,0,0,0,M,0,0,0,0,0,M,0,0,T,M,0,0,F,0,0,0,0,0,0,F,0,0,M,0,0,T,0,0,0,F,0,0,F,F,T,0,0,0,0,0,0,0,M,0,M,0,F,M,0,F,0,0,T,0,T,0,0,M,0,T,0,F,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,T,0,0,0,0,F,0
Employee_4,0,0,0,0,T,0,0,M,F,0,F,0,0,0,M,M,0,M,0,0,0,0,0,0,0,M,T,0,0,0,0,0,0,F,0,0,0,0,T,T,0,M,0,0,T,M,T,0,M,T,T,0,0,T,0,0,0,M,0,0,F,0,0,0,0,0,F,0,0,0,T,0,0,0,T,F,0,0,0,T,0,0,0,0,0,0,0,F,M,0,F,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,F,F,0,0,M,0,0,0,0,T,0,0,0,0,0,T,0,0,M,M,0,0,0,0,0,0,0,0,0,0,F,0,F,0,0,T,0,F,0,M,M,0,0,M,F,0,0,0,0,F,F,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,T,M,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,T,0,0,0,0,0,0,0,T,0,T,0,F,0,0,M,0,0,F,0,0,0,0,0,0,0,0,T,T,0,0,0,0,0,F,M,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,M,0,F,0,0,M,0,0,0,M,F,0,0,M,M,0,0,0,0,T,M,0,0,0,T,F,0,F,0,0,F,0,0,0,F,0,M,0,0,F,0,0,T,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,T,0,0,0,M,0,0,0,M,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,M,0,0,F,0,0,0,0,0,0,T,0,0,M,0,0,0,0,T,0,T,0,0,F,0,M,T,0,0,M,F,T
Employee_5,0,F,0,0,T,0,T,0,0,0,0,M,0,T,0,0,0,M,0,0,M,T,0,0,M,M,T,F,0,F,M,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,T,0,M,M,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,F,0,0,0,0,0,M,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,F,0,0,0,0,F,0,0,M,M,T,F,0,T,0,0,0,0,0,T,0,0,0,0,T,0,0,0,0,F,0,M,0,T,0,0,0,M,0,0,0,0,0,0,F,0,0,0,0,0,0,M,0,0,0,0,T,0,M,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,M,M,0,0,0,0,0,F,0,0,0,F,0,0,M,0,0,0,T,0,M,0,0,0,F,0,M,0,0,0,0,0,0,0,0,0,0,0,F,M,T,F,0,0,M,0,0,0,M,0,T,0,0,0,F,0,0,0,F,M,0,0,0,F,T,0,0,M,0,0,F,0,0,0,0,0,T,0,0,0,T,0,0,0,F,0,0,0,0,T,0,0,F,0,0,F,0,T,0,0,F,0,0,0,F,0,T,0,0,0,0,0,T,0,0,M,0,0,T,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,F,T,0,M,0,0,0,0,0,0,F,0,M,0,0,M,0,0,0,0,0,0,0,F,0,0,0,M,0,0,0,0,0,0,M,0,M,0,0,M,T,0,0,0
Employee_6,0,0,0,F,0,0,0,M,0,M,T,0,0,0,0,0,F,0,0,T,0,0,0,0,0,0,0,0,0,0,0,T,0,F,M,F,0,0,0,T,0,0,0,F,0,0,0,0,0,F,0,0,M,0,M,T,0,0,0,0,0,F,0,0,0,0,F,0,0,0,0,F,T,0,0,0,0,0,0,0,0,0,0,T,M,0,0,T,0,F,0,0,0,0,0,M,M,0,M,0,F,M,0,F,F,T,0,0,0,0,0,M,0,0,0,0,0,0,0,0,T,0,0,T,0,0,0,0,0,M,F,0,0,0,0,0,0,0,0,0,0,F,0,0,M,T,0,0,F,0,0,0,0,0,M,0,0,M,T,T,0,0,0,0,M,0,F,0,0,0,T,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,M,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,M,F,T,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,T,M,0,0,T,T,M,0,0,M,T,M,0,0,0,0,T,0,0,M,0,F,M,T,0,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,0,0,T,0,M,0,0,F,0,0,0,0,0,T,0,0,0,0,0,0,T,M,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,0,0,0,M,0,0,0,0,0,0,M,0,0,0,F,0,0,0,T,M,0,0,F,M,T,F,0,0,0,0,F,F,F,0,0,0,0,0,M,0
Employee_7,0,0,T,F,T,M,0,0,0,0,0,M,0,0,0,0,0,0,M,0,0,0,T,0,0,0,M,T,0,0,0,0,0,0,0,F,0,0,0,0,0,M,0,0,0,T,0,0,F,0,0,F,0,0,0,0,0,T,0,0,0,0,F,0,0,0,0,0,F,M,0,T,M,0,0,0,0,0,0,T,0,0,M,0,M,0,0,M,0,0,0,0,T,T,M,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,T,0,0,0,F,0,0,0,0,F,0,0,0,0,F,0,0,0,0,0,0,0,0,M,0,0,0,T,0,0,0,0,F,0,F,0,0,F,0,0,0,0,F,F,0,0,T,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,T,M,0,T,T,0,0,0,0,0,0,0,M,F,0,F,F,0,T,T,0,0,T,F,T,0,F,0,0,M,T,0,0,0,0,M,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,M,0,M,0,0,0,0,0,0,0,0,0,F,0,0,F,0,0,F,0,0,0,F,M,0,0,0,0,0,0,0,0,0,0,0,T,0,T,F,0,M,0,0,0,F,0,0,T,0,0,M,T,0,0,0,0,M,M,0,F,0,M,F,M,0,0,0,0,0,F,0,0,0,0,0,0,0,T,M,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,M,M,0,0,0,0,0,0,0,M,0,T,0,0,0,0,F,0,0,0,0,0,0,F,M,0,0,0
Employee_8,T,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,F,0,F,0,T,0,0,0,0,0,0,F,0,0,0,0,M,0,0,0,0,F,0,0,0,0,F,T,0,0,0,0,0,T,M,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,F,0,M,0,0,0,F,0,0,0,0,F,0,0,0,0,0,0,F,M,0,0,0,0,0,T,0,0,0,0,0,M,0,M,0,0,0,0,0,F,0,T,0,0,0,0,0,0,0,F,0,0,0,0,0,T,0,F,0,0,F,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,M,0,0,0,0,0,T,0,0,0,M,0,T,M,0,0,M,F,0,0,T,0,F,0,T,0,0,0,0,0,0,0,0,0,0,0,F,M,M,0,0,0,0,0,0,0,M,M,0,0,0,0,0,0,0,0,F,0,0,F,0,F,0,0,F,0,0,0,0,0,0,0,0,0,0,F,M,0,F,0,T,0,0,0,0,0,M,0,0,0,0,0,0,0,0,M,T,F,0,F,0,0,T,F,M,0,0,0,T,0,M,0,0,0,0,0,0,F,0,0,0,0,0,0,0,F,0,0,0,0,0,M,0,0,0,0,0,0,0,M,0,0,0,0,0,0,T,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,F,0,M,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,T,0,0,0,0,F,0,F,M,0,M,0,0,0,0,T,0,T,0,0,T,0,M
Employee_9,0,0,0,0,0,0,T,T,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,T,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,F,0,F,0,0,T,0,0,0,0,T,0,T,0,0,0,0,M,0,0,0,0,0,0,0,F,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,M,0,0,0,0,F,0,0,0,0,0,0,0,T,0,M,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,M,0,0,F,0,M,0,F,0,0,M,0,0,0,0,M,0,0,T,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,M,T,0,F,0,T,T,0,0,F,0,0,0,M,0,T,0,0,T,0,0,T,0,0,M,M,0,0,0,0,0,0,M,T,0,M,F,0,0,0,0,M,M,0,0,0,0,T,0,0,0,T,0,0,0,0,M,0,0,F,F,0,0,0,0,0,F,0,0,T,0,0,0,0,F,M,0,0,0,0,0,0,0,0,0,0,0,0,M,0,M,0,0,T,T,0,F,0,0,T,F,T,0,M,0,0,0,0,0,0,0,M,0,F,T,0,0,0,0,T,M,M,0,F,T,0,0,M,0,0,0,M,0,0,T,0,F,0,F,F,0,0,0,0,0,M,0,T,0,T,0,0,0,M,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,F,0,0,0,0,0,0,F,0,M,0,M,M,M,F,0,0,F,T,F,0,F,F,T,0,0,0,0,0,0,0,F,M,M,0,0
